RAM (MB),systemtime
51.0703125,1531772382.11744
55.50390625,1531772382.1272619
72.92578125,1531772382.638122
73.1484375,1531772383.1484811
73.15234375,1531772383.658732
73.1953125,1531772384.168802
73.19921875,1531772384.679378
73.21875,1531772385.1901262
73.32421875,1531772385.700567
73.4296875,1531772386.206451
73.43359375,1531772386.711852
73.43359375,1531772387.217962
73.4453125,1531772387.7241821
73.51953125,1531772388.2302332
73.53125,1531772388.735913
73.54296875,1531772389.241407
73.546875,1531772389.747245
73.58203125,1531772390.253563
73.59765625,1531772390.759176
73.6015625,1531772391.2647932
73.60546875,1531772391.774953
56.390625,1531772392.2805839
56.40234375,1531772392.5709949
