Invocation Param,Invocation Value,task,tool,time,ram
bids_dir,/data/ds114/,0,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,0,BIDS-example,,
analysis_level,participant,0,BIDS-example,,
participant_label,['01'],0,BIDS-example,,
skip_validator,True,0,BIDS-example,,
,,0,BIDS-example,0.005173,66.484375
,,0,BIDS-example,0.017600091598510743,71.296875
,,0,BIDS-example,0.5234709106903076,86.11328125
,,0,BIDS-example,1.0276460968475345,86.16015625
,,0,BIDS-example,1.5382638298492433,86.1875
,,0,BIDS-example,2.04569509854126,86.359375
,,0,BIDS-example,2.5518329464416505,86.37109375
,,0,BIDS-example,3.0694558941345216,86.5625
,,0,BIDS-example,3.5768018089752203,86.5625
,,0,BIDS-example,4.0842378460388185,81.3671875
,,0,BIDS-example,4.591028007171631,81.37109375
,,0,BIDS-example,5.096926959655762,81.37109375
,,0,BIDS-example,5.6022029243927,81.3828125
,,0,BIDS-example,6.111043008468628,81.38671875
,,0,BIDS-example,6.61862400402832,81.38671875
,,0,BIDS-example,7.124499114654541,81.38671875
,,0,BIDS-example,7.62950685848999,81.390625
,,0,BIDS-example,8.134696038864135,81.390625
,,0,BIDS-example,8.650724919937133,81.39453125
,,0,BIDS-example,9.155199082992553,81.39453125
,,0,BIDS-example,9.65961793293762,81.39453125
,,0,BIDS-example,10.166686090133666,81.39453125
,,0,BIDS-example,10.675840171478269,81.39453125
,,0,BIDS-example,11.180604966781615,81.39453125
,,0,BIDS-example,11.691979201934814,81.39453125
,,0,BIDS-example,12.197923930786132,81.39453125
,,0,BIDS-example,12.702399047515867,81.39453125
,,0,BIDS-example,13.206429990432738,81.3984375
,,0,BIDS-example,13.717222007415769,81.3984375
,,0,BIDS-example,14.221123012207029,81.3984375
,,0,BIDS-example,14.728293927810668,81.3984375
,,0,BIDS-example,15.234045060775756,81.3984375
,,0,BIDS-example,15.738302978179929,81.3984375
,,0,BIDS-example,16.243829044006347,81.3984375
,,0,BIDS-example,16.75000098576355,81.3984375
,,0,BIDS-example,17.257270845077514,81.3984375
,,0,BIDS-example,17.762156041763305,81.40234375
,,0,BIDS-example,18.267581018112182,81.41015625
,,0,BIDS-example,18.773931058547973,81.41015625
,,0,BIDS-example,19.277787955902102,81.41015625
,,0,BIDS-example,19.781682046554565,81.41015625
,,0,BIDS-example,20.2867629848938,81.41015625
,,0,BIDS-example,20.79222515454101,81.6953125
,,0,BIDS-example,21.29621795048523,72.4140625
,,0,BIDS-example,21.764136108062743,72.46875
bids_dir,/data/ds114/,1,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,1,BIDS-example,,
analysis_level,participant,1,BIDS-example,,
participant_label,['02'],1,BIDS-example,,
skip_validator,True,1,BIDS-example,,
,,1,BIDS-example,0.006226,69.1953125
,,1,BIDS-example,0.014937814880371091,74.0390625
,,1,BIDS-example,0.5198916761169433,88.16796875
,,1,BIDS-example,1.0238539544830323,88.21484375
,,1,BIDS-example,1.5283588735351563,88.21875
,,1,BIDS-example,2.0330027906188963,88.4921875
,,1,BIDS-example,2.5370079843292235,88.49609375
,,1,BIDS-example,3.041462835479736,88.5
,,1,BIDS-example,3.545572933364868,88.578125
,,1,BIDS-example,4.050090727020264,88.6015625
,,1,BIDS-example,4.554202970672606,88.61328125
,,1,BIDS-example,5.0586709348449705,88.61328125
,,1,BIDS-example,5.5630769101867665,88.61328125
,,1,BIDS-example,6.0677227346191405,88.61328125
,,1,BIDS-example,6.573018964935303,88.61328125
,,1,BIDS-example,7.077800687957764,88.61328125
,,1,BIDS-example,7.584075864959718,88.61328125
,,1,BIDS-example,8.089982685256956,88.61328125
,,1,BIDS-example,8.60062092225647,51.2421875
,,1,BIDS-example,9.10634463708496,51.2109375
,,1,BIDS-example,9.615680870224,46.06640625
,,1,BIDS-example,10.12517589013672,45.46875
,,1,BIDS-example,10.632449802566526,38.8515625
,,1,BIDS-example,11.137091812301636,38.8515625
,,1,BIDS-example,11.641905006576538,38.859375
,,1,BIDS-example,12.145821985412596,38.8671875
,,1,BIDS-example,12.650341924835205,38.87109375
,,1,BIDS-example,13.1548597184906,39.6328125
,,1,BIDS-example,13.659729894805908,30.9296875
,,1,BIDS-example,13.718257841278074,31.7890625
bids_dir,/data/ds114/,2,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,2,BIDS-example,,
analysis_level,participant,2,BIDS-example,,
participant_label,['03'],2,BIDS-example,,
skip_validator,True,2,BIDS-example,,
,,2,BIDS-example,0.017297999999999997,31.8671875
,,2,BIDS-example,0.05954505696105958,36.87109375
,,2,BIDS-example,0.5641222168426514,50.3515625
,,2,BIDS-example,1.0682170559387207,50.359375
,,2,BIDS-example,1.5725519825439451,50.37109375
,,2,BIDS-example,2.0780651737670897,49.70703125
,,2,BIDS-example,2.5829801727752684,50.85546875
,,2,BIDS-example,3.0876979996185296,50.87890625
,,2,BIDS-example,3.5945789982299803,49.93359375
,,2,BIDS-example,4.100953118942261,47.55078125
,,2,BIDS-example,4.605855004928589,47.55859375
,,2,BIDS-example,5.115204112670899,41.93359375
,,2,BIDS-example,5.621247069976807,39.2265625
,,2,BIDS-example,6.126206891677858,39.23046875
,,2,BIDS-example,6.630740897796631,39.25
,,2,BIDS-example,7.13607503666687,39.265625
,,2,BIDS-example,7.640445964477539,39.265625
,,2,BIDS-example,8.145473020217898,39.28125
,,2,BIDS-example,8.649990098617554,39.2890625
,,2,BIDS-example,9.154676931045534,39.29296875
,,2,BIDS-example,9.660546081207276,39.29296875
,,2,BIDS-example,10.165611999176026,39.30078125
,,2,BIDS-example,10.670301931045534,39.30078125
,,2,BIDS-example,11.175005929611206,39.3046875
,,2,BIDS-example,11.67994906201172,39.3046875
,,2,BIDS-example,12.18547107472229,39.30859375
,,2,BIDS-example,12.689553277633667,39.3125
,,2,BIDS-example,13.196000116012573,39.3203125
,,2,BIDS-example,13.702236192367554,39.3203125
,,2,BIDS-example,14.206002013824465,39.3203125
,,2,BIDS-example,14.71005799069214,39.32421875
,,2,BIDS-example,15.215484874389649,39.32421875
,,2,BIDS-example,15.720428960464478,39.33203125
,,2,BIDS-example,16.225646035812378,39.34765625
,,2,BIDS-example,16.729444043777466,39.3515625
,,2,BIDS-example,17.234028117797852,39.3515625
,,2,BIDS-example,17.740539090774536,39.359375
,,2,BIDS-example,18.245356099746704,39.36328125
,,2,BIDS-example,18.74950815930176,39.36328125
,,2,BIDS-example,19.25416495098877,39.36328125
,,2,BIDS-example,19.758582132003784,39.36328125
,,2,BIDS-example,20.26496316685486,39.36328125
,,2,BIDS-example,20.771101968429566,39.36328125
,,2,BIDS-example,21.276055114410397,39.36328125
,,2,BIDS-example,21.78084804310608,39.36328125
,,2,BIDS-example,22.28532983555603,39.36328125
,,2,BIDS-example,22.791314857147217,39.3671875
,,2,BIDS-example,23.295306937835694,39.84765625
,,2,BIDS-example,23.799637096069336,30.69921875
,,2,BIDS-example,24.15614797367859,31.02734375
bids_dir,/data/ds114/,3,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,3,BIDS-example,,
analysis_level,participant,3,BIDS-example,,
participant_label,['04'],3,BIDS-example,,
skip_validator,True,3,BIDS-example,,
,,3,BIDS-example,0.003619,30.04296875
,,3,BIDS-example,0.013442083877563477,35.01953125
,,3,BIDS-example,0.5200460401000977,49.1875
,,3,BIDS-example,1.0250161138000489,49.21484375
,,3,BIDS-example,1.5300381627502442,49.640625
,,3,BIDS-example,2.0350389924468995,49.84375
,,3,BIDS-example,2.539232059997558,49.8515625
,,3,BIDS-example,3.0427241769256588,49.859375
,,3,BIDS-example,3.547244116348266,49.86328125
,,3,BIDS-example,4.051687284988403,49.86328125
,,3,BIDS-example,4.555803104919433,49.86328125
,,3,BIDS-example,5.059770151657103,49.8828125
,,3,BIDS-example,5.5641770806732165,49.88671875
,,3,BIDS-example,6.0708981004180895,49.890625
